,0,1,2
0,0,1.9060486575048203,"(<function rbf.<locals>.rbf_fun at 0x7f25dcb32e18>, <function sig.<locals>.sig_fun at 0x7f25dcb32f28>)"
1,1,1.7255495856535703,"(<function lin.<locals>.lin_fun at 0x7f25dcb51268>, <function sig.<locals>.sig_fun at 0x7f25dcb51598>)"
2,2,2.291474921486647,"(<function sig.<locals>.sig_fun at 0x7f25dcb51ae8>, <function sig.<locals>.sig_fun at 0x7f25dcb51b70>)"
3,3,2.713052908911447,"(<function lin.<locals>.lin_fun at 0x7f25dcb51d08>, <function sig.<locals>.sig_fun at 0x7f25dcb460d0>)"
4,4,4.017675753189855,"(<function poly.<locals>.poly_fun at 0x7f25dcb46378>, <function poly.<locals>.poly_fun at 0x7f25dcb46488>)"
5,5,3.911820586249217,"(<function lin.<locals>.lin_fun at 0x7f25dcb46268>, <function poly.<locals>.poly_fun at 0x7f25dcb46950>)"
6,6,4.22527922518178,"(<function lin.<locals>.lin_fun at 0x7f25dcb46d90>, <function sig.<locals>.sig_fun at 0x7f25dcb41158>)"
7,7,7.309991338027256,"(<function lin.<locals>.lin_fun at 0x7f25dcb412f0>, <function rbf.<locals>.rbf_fun at 0x7f25dcb41510>)"
8,8,7.34799378363282,"(<function lin.<locals>.lin_fun at 0x7f25dcb41840>, <function sig.<locals>.sig_fun at 0x7f25dcb41b70>)"
9,9,6.784276284276003,"(<function lin.<locals>.lin_fun at 0x7f25dcb417b8>, <function poly.<locals>.poly_fun at 0x7f25dcb41f28>)"
10,10,5.112326957689983,"(<function sig.<locals>.sig_fun at 0x7f25dc8746a8>, <function sig.<locals>.sig_fun at 0x7f25dc874730>)"
11,11,21.97255147791057,"(<function rbf.<locals>.rbf_fun at 0x7f25dc874ae8>, <function rbf.<locals>.rbf_fun at 0x7f25dc874b70>)"
12,12,9.435587649103207,"(<function sig.<locals>.sig_fun at 0x7f25dc88e1e0>, <function sig.<locals>.sig_fun at 0x7f25dc88e268>)"
13,13,24.325032255551992,"(<function sig.<locals>.sig_fun at 0x7f25dc88e730>, <function sig.<locals>.sig_fun at 0x7f25dc88e7b8>)"
14,14,0.6520710477821728,"(<function sig.<locals>.sig_fun at 0x7f25dc88ec80>, <function sig.<locals>.sig_fun at 0x7f25dc88ed08>)"
15,15,7.141364960529767,"(<function rbf.<locals>.rbf_fun at 0x7f25dc894158>, <function rbf.<locals>.rbf_fun at 0x7f25dc8941e0>)"
16,16,5.211881082990431,"(<function rbf.<locals>.rbf_fun at 0x7f25dc8946a8>, <function rbf.<locals>.rbf_fun at 0x7f25dc894730>)"
17,17,10.455964224155965,"(<function poly.<locals>.poly_fun at 0x7f25dc894a60>, <function poly.<locals>.poly_fun at 0x7f25dc894ae8>)"
18,18,4.456978214218882,"(<function lin.<locals>.lin_fun at 0x7f25dc894f28>, <function sig.<locals>.sig_fun at 0x7f25dc89b2f0>)"
19,19,16.297039778728784,"(<function lin.<locals>.lin_fun at 0x7f25dc89b510>, <function sig.<locals>.sig_fun at 0x7f25dc89b840>)"
20,20,14.20711181553984,"(<function sig.<locals>.sig_fun at 0x7f25dc89bd90>, <function sig.<locals>.sig_fun at 0x7f25dc89be18>)"
21,21,31.4136305345431,"(<function lin.<locals>.lin_fun at 0x7f25dc8a4048>, <function poly.<locals>.poly_fun at 0x7f25dc8a40d0>)"
22,22,59.12041151698575,"(<function lin.<locals>.lin_fun at 0x7f25dc8a4598>, <function sig.<locals>.sig_fun at 0x7f25dc8a48c8>)"
23,23,44.66798571884012,"(<function lin.<locals>.lin_fun at 0x7f25dc8a4ae8>, <function sig.<locals>.sig_fun at 0x7f25dc8a4e18>)"
24,24,20.87603334952503,"(<function rbf.<locals>.rbf_fun at 0x7f25dc8aa2f0>, <function rbf.<locals>.rbf_fun at 0x7f25dc8aa378>)"
25,25,2.6545739761904694,"(<function lin.<locals>.lin_fun at 0x7f25dc8aa620>, <function sig.<locals>.sig_fun at 0x7f25dc8aa950>)"
26,26,15.471591692059583,"(<function sig.<locals>.sig_fun at 0x7f25dc8aaea0>, <function sig.<locals>.sig_fun at 0x7f25dc8aaf28>)"
27,27,2.810574409544669,"(<function rbf.<locals>.rbf_fun at 0x7f25dc833378>, <function rbf.<locals>.rbf_fun at 0x7f25dc833400>)"
28,28,9.38996597354851,"(<function rbf.<locals>.rbf_fun at 0x7f25dc8338c8>, <function sig.<locals>.sig_fun at 0x7f25dc8339d8>)"
