,0,1,2
31,31,5.3502989765664095,"(<function rbf.<locals>.rbf_fun at 0x7f087323da60>, <function sig.<locals>.sig_fun at 0x7f087323db70>, <function sig.<locals>.sig_fun at 0x7f087323dbf8>)"
32,32,9.751383354060513,"(<function lin.<locals>.lin_fun at 0x7f087323d7b8>, <function lin.<locals>.lin_fun at 0x7f087323de18>, <function poly.<locals>.poly_fun at 0x7f087323dea0>)"
33,33,6.332164737736787,"(<function sig.<locals>.sig_fun at 0x7f08732537b8>, <function sig.<locals>.sig_fun at 0x7f0873253840>, <function sig.<locals>.sig_fun at 0x7f0873253950>)"
34,34,4.3755393207314786,"(<function lin.<locals>.lin_fun at 0x7f0873253400>, <function poly.<locals>.poly_fun at 0x7f0873253ae8>, <function poly.<locals>.poly_fun at 0x7f0873253b70>)"
35,35,12.634396420709935,"(<function rbf.<locals>.rbf_fun at 0x7f08732622f0>, <function sig.<locals>.sig_fun at 0x7f0873262400>, <function sig.<locals>.sig_fun at 0x7f0873262488>)"
36,36,3.8515957091614634,"(<function poly.<locals>.poly_fun at 0x7f0873262730>, <function rbf.<locals>.rbf_fun at 0x7f08732628c8>, <function rbf.<locals>.rbf_fun at 0x7f0873262950>)"
37,37,11.434728639060092,"(<function lin.<locals>.lin_fun at 0x7f0873262620>, <function lin.<locals>.lin_fun at 0x7f0873262c80>, <function sig.<locals>.sig_fun at 0x7f08731f6048>)"
38,38,16.328898474140612,"(<function sig.<locals>.sig_fun at 0x7f08731f6620>, <function sig.<locals>.sig_fun at 0x7f08731f66a8>, <function sig.<locals>.sig_fun at 0x7f08731f67b8>)"
39,39,4.711983423831801,"(<function lin.<locals>.lin_fun at 0x7f08731f6268>, <function lin.<locals>.lin_fun at 0x7f08731f68c8>, <function sig.<locals>.sig_fun at 0x7f08731f6bf8>)"
40,40,7.362812408305419,"(<function rbf.<locals>.rbf_fun at 0x7f087320c158>, <function rbf.<locals>.rbf_fun at 0x7f087320c1e0>, <function rbf.<locals>.rbf_fun at 0x7f087320c378>)"
41,41,32.84915436378426,"(<function lin.<locals>.lin_fun at 0x7f08731f6e18>, <function sig.<locals>.sig_fun at 0x7f087320c840>, <function sig.<locals>.sig_fun at 0x7f087320c8c8>)"
42,42,0.7511355689089498,"(<function rbf.<locals>.rbf_fun at 0x7f087320cd08>, <function rbf.<locals>.rbf_fun at 0x7f087320cd90>, <function rbf.<locals>.rbf_fun at 0x7f087320cf28>)"
43,43,13.226313775723613,"(<function poly.<locals>.poly_fun at 0x7f08732192f0>, <function rbf.<locals>.rbf_fun at 0x7f0873219378>, <function rbf.<locals>.rbf_fun at 0x7f0873219400>)"
44,44,11.57609172896308,"(<function rbf.<locals>.rbf_fun at 0x7f0873219950>, <function rbf.<locals>.rbf_fun at 0x7f08732199d8>, <function sig.<locals>.sig_fun at 0x7f0873219a60>)"
45,45,1.1024362623483706,"(<function rbf.<locals>.rbf_fun at 0x7f0873219f28>, <function rbf.<locals>.rbf_fun at 0x7f0873230048>, <function rbf.<locals>.rbf_fun at 0x7f08732301e0>)"
46,46,1.1024362623483706,"(<function rbf.<locals>.rbf_fun at 0x7f0873230598>, <function rbf.<locals>.rbf_fun at 0x7f0873230620>, <function rbf.<locals>.rbf_fun at 0x7f08732307b8>)"
47,47,6.643079364084916,"(<function sig.<locals>.sig_fun at 0x7f0873230c80>, <function sig.<locals>.sig_fun at 0x7f0873230d08>, <function sig.<locals>.sig_fun at 0x7f0873230e18>)"
48,48,3.0193288781606022,"(<function sig.<locals>.sig_fun at 0x7f08731c52f0>, <function sig.<locals>.sig_fun at 0x7f08731c5378>, <function sig.<locals>.sig_fun at 0x7f08731c5488>)"
